date,result
2003-01-14,2.6160036874855956
2003-01-15,2.6874469725266428
2003-01-16,2.7588902575676904
2003-01-17,2.5950635012401855
2003-01-18,2.6497659889826393
2003-01-19,2.7044684767250926
2003-01-20,2.759170964467546
2003-01-21,2.875787054127841
2003-01-22,2.9297154727283514
2003-01-23,2.983643891328863
2003-01-24,3.037572309929373
2003-01-25,3.0915007285298834
2003-01-26,3.145429147130394
2003-01-27,3.199357565730904
2003-01-28,3.2532859843314146
2003-01-29,3.307214402931925
2003-01-30,3.361142821532435
2003-01-31,3.4150712401329453
2003-02-01,3.468999658733456
2003-02-02,3.522928077333966
2003-02-03,3.5768564959344764
2003-02-04,3.6307849145349866
2003-02-05,3.684713333135497
2003-02-06,3.7386417517360084
2003-02-07,3.7925701703365187
2003-02-08,3.846498588937029
2003-02-09,3.900427007537539
2003-02-10,3.9543554261380494
2003-02-11,4.0082838447385605
2003-02-12,4.062212263339071
2003-02-13,4.067417167190931
2003-02-14,4.061922522850021
2003-02-15,4.05642787850911
2003-02-16,4.0509332341682
2003-02-17,4.04543858982729
2003-02-18,4.039943945486379
2003-02-19,4.034449301145469
2003-02-20,4.028954656804558
2003-02-21,4.023460012463648
2003-02-22,4.017965368122737
2003-02-23,4.012470723781827
2003-02-24,4.006976079440916
2003-02-25,4.001481435100006
2003-02-26,3.995986790759096
2003-02-27,3.9904921464181853
2003-02-28,3.9849975020772748
2003-03-01,3.979502857736364
2003-03-02,3.9740082133954537
2003-03-03,3.9685135690545437
2003-03-04,3.9714609858151815
2003-03-05,3.97440840257582
2003-03-06,3.977355819336459
2003-03-07,3.980303236097098
2003-03-08,3.9832506528577363
2003-03-09,3.9861980696183745
2003-03-10,3.989145486379014
2003-03-11,3.9920929031396515
2003-03-12,3.9950403199002915
2003-03-13,3.99798773666093
2003-03-14,3.967904467871485
2003-03-15,3.937821199082042
2003-03-16,3.907737930292599
2003-03-17,3.877654661503155
2003-03-18,3.847571392713711
2003-03-19,3.817488123924269
2003-03-20,3.787404855134825
2003-03-21,3.7573215863453813
2003-03-22,3.7272383175559383
2003-03-23,3.697155048766495
2003-03-24,3.667071779977051
2003-03-25,3.6369885111876075
2003-03-26,3.6069052423981636
2003-03-27,3.5768219736087206
2003-03-28,3.5467387048192762
2003-03-29,3.5263470979154716
2003-03-30,3.5059554910116653
2003-03-31,3.4855638841078598
2003-04-01,3.4651722772040547
2003-04-02,3.4447806703002484
2003-04-03,3.424389063396443
2003-04-04,3.403997456492637
2003-04-05,3.3836058495888315
2003-04-06,3.363214242685025
2003-04-07,3.34282263578122
2003-04-08,3.3079214243463335
2003-04-09,3.2730202129114465
2003-04-10,3.23811900147656
2003-04-11,3.2032177900416725
2003-04-12,3.1743241914758444
2003-04-13,3.1454305929100164
2003-04-14,3.116536994344188
2003-04-15,3.08764339577836
2003-04-16,3.0587497972125317
2003-04-17,3.029856198646703
2003-04-18,3.000962600080876
2003-04-19,2.9720690015150466
2003-04-20,2.9431754029492194
2003-04-21,2.9142818043833905
2003-04-22,2.8853882058175624
2003-04-23,2.8564946072517348
2003-04-24,2.8276010086859067
2003-04-25,2.8309444046797028
2003-04-26,2.8342878006734984
2003-04-27,2.837631196667294
2003-04-28,2.84097459266109
2003-04-29,2.8443179886548857
2003-04-30,2.847661384648682
2003-05-01,2.851004780642478
2003-05-02,2.8543481766362735
2003-05-03,2.857691572630069
2003-05-04,2.861034968623865
2003-05-05,2.8643783646176613
2003-05-06,2.8677217606114573
2003-05-07,2.871065156605253
2003-05-08,2.8744085525990486
2003-05-09,2.8777519485928456
2003-05-10,2.881095344586641
2003-05-11,2.8844387405804373
2003-05-12,2.887782136574233
2003-05-13,2.891125532568029
2003-05-14,2.901606513487995
2003-05-15,2.912087494407962
2003-05-16,2.9225684753279286
2003-05-17,2.933049456247896
2003-05-18,2.9435304371678623
2003-05-19,2.954011418087829
2003-05-20,2.964492399007796
2003-05-21,2.9826586269302067
2003-05-22,3.000824854852619
2003-05-23,3.0189910827750293
2003-05-24,3.0371573106974408
2003-05-25,3.055323538619852
2003-05-26,3.0734897665422634
2003-05-27,3.091655994464674
2003-05-28,3.1098222223870855
2003-05-29,3.067427899281856
2003-05-30,3.025033576176628
2003-05-31,2.9826392530713988
2003-06-01,2.94024492996617
2003-06-02,2.897850606860941
2003-06-03,2.8554562837557125
2003-06-04,2.813061960650484
2003-06-05,2.770667637545255
2003-06-06,2.728273314440026
2003-06-07,2.685878991334797
2003-06-08,2.6434846682295685
2003-06-09,2.60109034512434
2003-06-10,2.558696022019111
2003-06-11,2.556280092221331
2003-06-12,2.5538641624235514
2003-06-13,2.551448232625772
2003-06-14,2.549032302827992
2003-06-15,2.546616373030212
2003-06-16,2.5442004432324326
2003-06-17,2.5417845134346533
2003-06-18,2.539368583636873
2003-06-19,2.544139007403823
2003-06-20,2.5489094311707716
2003-06-21,2.5536798549377218
2003-06-22,2.5584502787046706
2003-06-23,2.5632207024716203
2003-06-24,2.567991126238569
2003-06-25,2.5727615500055188
2003-06-26,2.5775319737724685
2003-06-27,2.582302397539418
2003-06-28,2.5870728213063674
2003-06-29,2.591843245073317
2003-06-30,2.596613668840266
2003-07-01,2.601384092607215
2003-07-02,2.606154516374165
2003-07-03,2.6109249401411145
2003-07-04,2.6156953639080642
2003-07-05,2.620465787675013
2003-07-06,2.6252362114419623
2003-07-07,2.630006635208912
2003-07-08,2.6347770589758617
2003-07-09,2.6395474827428114
2003-07-10,2.64431790650976
2003-07-11,2.6490883302767094
2003-07-12,2.653858754043659
2003-07-13,2.658629177810609
2003-07-14,2.6633996015775576
